town,county,ZIPcode,Deaths,Population,Deaths_per_100000,SVI
New London,New London,6320,11.0,26999.0,40.74224971295233,SVI
Greenwich,Fairfield,6807,3.0,7514.0,39.92547245142401,
Stafford,Tolland,6076,5.0,12571.0,39.77408320738207,
West Hartford,Hartford,6119,6.0,15236.0,39.38041480703597,SVI
East Hampton,Middlesex,6424,5.0,12744.0,39.23414940364093,
Clinton,Middlesex,6413,5.0,12928.0,38.67574257425743,
Griswold,New London,6351,6.0,15877.0,37.79051458084021,
East Haddam,Middlesex,6423,2.0,5374.0,37.21622627465575,
Greenwich,Fairfield,6878,3.0,8112.0,36.98224852071006,
Darien,Fairfield,6820,8.0,21742.0,36.79514304111857,
Columbia,Tolland,6237,2.0,5444.0,36.737692872887585,
Colchester,New London,6415,6.0,16611.0,36.120642947444466,
Stonington,New London,6378,2.0,5594.0,35.75259206292456,
East Haddam,Middlesex,6469,1.0,2802.0,35.6887937187723,
Newtown,Fairfield,6482,4.0,11251.0,35.55239534263621,
Voluntown,New London,6384,1.0,2833.0,35.29827038475115,
New Milford,Litchfield,6776,9.0,26023.0,34.58479037774276,
Vernon,Tolland,6066,10.0,29277.0,34.15650510639751,
Groton,New London,6340,10.0,30403.0,32.89149097128573,
Coventry,Tolland,6238,4.0,12406.0,32.24246332419797,
Guilford,New Haven,6437,7.0,22216.0,31.508822470291683,
Woodbury,Litchfield,6798,3.0,9562.0,31.37418950010458,
Andover,Tolland,6232,1.0,3203.0,31.220730565095224,
Windham,Windham,6226,6.0,19431.0,30.87849312953528,SVI
Essex,Middlesex,6426,1.0,3401.0,29.40311673037342,
Weston,Fairfield,6883,3.0,10287.0,29.163021289005542,
North Branford,New Haven,6472,2.0,6900.0,28.985507246376812,
Westbrook,Middlesex,6498,2.0,6919.0,28.905911258852434,
New Fairfield,Fairfield,6812,4.0,13955.0,28.663561447509853,
Durham,Middlesex,6422,2.0,7221.0,27.69699487605595,
Plainfield,Windham,6374,2.0,7250.0,27.586206896551722,
Somers,Tolland,6071,3.0,11171.0,26.855250201414375,
Greenwich,Fairfield,6870,2.0,7642.0,26.17115938236064,
Middlebury,New Haven,6762,2.0,7701.0,25.97065316192702,
